Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Paul Cézanne,Vue sur L′Estaque et le Château d′If,02.04.2015,"20,375,704",73 x 59.7 cm,Impressionist/Modern Evening Sale,"GBP 8,000,000 - GBP 12,000,000","Ambroise Vollard, Paris, by whom acquired directly from the artist.
Baron Denys Cochin, Paris, by 1904.
Galerie Durand-Ruel, Paris, by whom acquired on 12 May 1905.
Paul Cassirer, Berlin, by whom acquired on 21 September 1905.
Galerie Bernheim-Jeune, Paris, and Jos Hessel, Paris, by whom acquired on 2 April 1909.
Jos Hessel, Paris, by whom acquired on 12 July 1910.
Galerie Bernheim-Jeune, Paris, by whom acquired on 12 October 1912.
Walther Halvorsen, Oslo, by whom acquired on 21 April 1915.
Erich Goeritz, Luxembourg, by 1936.
Galerie Thannhauser, Lucerne, by whom acquired from the above on 9 July 1936.
Wildenstein Galleries, Paris & London, by whom acquired from the above on 11 July 1936.
Samuel Courtauld, London, by whom acquired from the above in November 1936, and thence by succession to the current owners.",-,-,oil on canvas,1883,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10378_0008_000(paul_cezanne_vue_sur_lestaque_et_le_chateau_dif).jpg
Piet Mondrian,Composition No. II with Blue and Yellow,02.04.2014,"20,315,296",50.5 x 50.2 cm,Impressionist/Modern Evening Sale,"GBP 8,000,000 - GBP 12,000,000","Private collection, Zurich, by whom acquired directly from the artist in 1931, and thence by descent to the present owners.","
signed with the initials and dated ‘PM 30’ (lower centre); signed and inscribed ‘HAUT Composition No. II P.MONDRIAN’ (on the frame)
","Private collection, Zurich, by whom acquired directly from the artist in 1931, and thence by descent to the present owners.",oil on canvas; in the artist’s frame,1930,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0010_000(piet_mondrian_composition_no_ii_with_blue_and_yellow).jpg
Canaletto,"The Bucintoro at the Molo, Venice, on Ascension Day",07.06.2005,"20,084,328",152.1 x 137.5 cm,CHAMPALIMAUD COLLECTION,"GBP 4,000,000 - GBP 6,000,000","Probably commissioned by the Hon. Thomas King, later 5th Baron King (1712-1779), and by descent at Ockham Park, Surrey, through his great grandson,
William, 8th Lord King and 1st Earl of Lovelace (1805-1893) to the latter's grandson,
Peter, 4th Earl of Lovelace (1905-1964) by whom moved to Whitwell Hatch, Haslemere (by 1926); Sotheby's, London, 13 July 1937, lot 135 (£2,100 to Spalding).
Anonymous sale; Sotheby's London, 12 December 1973, lot 9. 
",-,-,oil on canvas ,-,https://www.christies.com/img/LotImages/2005/CKS/2005_CKS_07127_0020_000().jpg
Willem de Kooning,Untitled XXIII,11.13.2007,"19,921,000",177.8 x 203.2 cm,Post War and Contemporary Art Evening Sale,"USD 16,000,000 - USD 19,000,000","Xavier Fourcade Inc., New York
Adriana and Robert Mnuchin, New York 
Private Collection, New York
Acquired from the above by the present owner
","
signed 'de Kooning' (on the reverse) 
","
Private Collection, New York
",oil on canvas ,1977,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01903_0043_000().jpg
,Struktur,06.27.2012,"19,812,788",224.8 x 200cm,Post-War and Contemporary Art Evening Auction,"GBP 9,000,000 - GBP 12,000,000","Marian Goodman Gallery, New York.
Acquired from the above. 
","
signed, numbered and dated '690-2 Richter 1989' (on the reverse) 
",-,oil on canvas ,1989,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05488_0016_000(gerhard_richter_struktur).jpg
Vincent van Gogh,La Roubine du Roi,05.12.1999,"19,802,500",73.7 x 61 cm,Impressionist and 19th Century Art (Evening Sale)           ,,"Mrs. J. van Gogh-Bonger, Amsterdam.
Dr. Gustav Schiefler, Mellingstadt (1914).
Martin Gerson, Berlin.
M. Knoedler & Co., Inc., New York.
French Art Galleries (Morris Gutmann), New York (1943).
Mrs. Erna Wolf Dreyfus; estate sale, Sotheby's, New York,
15 May 1984, lot 12.
",-,-,oil on canvas ,1888,-
Fernand Léger,Les cylindres colorés,02.04.2014,"19,764,928",54.3 x 50.3 cm,Impressionist/Modern Evening Sale,"GBP 5,000,000 - GBP 7,000,000","Gaston Bernheim, Paris.
Louis Carré, Paris (no. 1366), by whom acquired from the above in 1938. 
Private collection, France.","
signed 'F.LÉGER' (lower right); signed and dated 'F.LÉGER 1-1918' (on the reverse)
","
Private collection, France.",oil on canvas,1918,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0005_000(fernand_leger_les_cylindres_colores).jpg
Francis Bacon,Study for Head of Lucian Freud,07.01.2014,"19,622,034",35.5 x 30.5cm,Post-War & Contemporary Art Evening Auction,,"Marlborough Fine Art Ltd., London.
Roald Dahl, Great Missenden, Buckinghamshire (acquired from the above in 1967).
And thence by descent to the present owner.
","
Study for Head of Lucian Freud 
titled and dated 'Study for Head of Lucian Freud 1967' (on the reverse)
",-,oil on canvas,1967,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01535_0016_000(francis_bacon_study_for_head_of_lucian_freud).jpg
Lucian Freud,Ib and her Husband,11.13.2007,"19,361,000",168.3 x 146.7 cm,Post War and Contemporary Art Evening Sale,,"Acquavella Contemporary Art, Inc., New York
Acquired from the above by the present owner 
",-,-,oil on canvas ,1992,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01903_0009_000().jpg
Edward Hopper,Blackwell′s Island,05.23.2013,"19,163,750",87.6 x 151.3 cm,American Art,"USD 15,000,000 - USD 20,000,000","The artist.
[With]Frank K.M. Rehn Galleries, New York.
William G. Russell Allen, Boston, Massachusetts, acquired from the above, 1929.
Mr. and Mrs. Christopher Tunnard, New Haven, Connecticut, gift from the above, 1950.
Private collection, 1980.
Sotheby's, New York, Private Sale, circa 2000.
Acquired by the present owner from the above.
","
signed 'Edward Hopper' (lower right) 
","
Private collection, 1980.
",oil on canvas ,1928,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02707_0016_000(edward_hopper_blackwells_island).jpg
Paul Cézanne,Joueur de cartes,05.01.2012,"19,122,500",46.7 x 30.5 cm,Impressionist and Modern Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Ambroise Vollard, Paris.
J.W. Böhler, Lucerne.
Paul Cassirer, Berlin and Amsterdam.
Mr. and Mrs. Ernst Eichenwald, Berlin and New York (circa 1935).
By descent from the above to the present owner.
",-,-,watercolor on laid paper ,1892,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02554_0005_000(paul_cezanne_joueur_de_cartes).jpg
Henri Matisse,Les PivoinesREPEAT SALE,05.01.2012,"19,122,500",65 x 54.6 cm,Impressionist and Modern Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Galerie Bernheim-Jeune et Cie., Paris (acquired from the artist, 18 June 1907).
Félix Fénéon, Paris (acquired from the above, 28 November 1907); sale, Hôtel Drouot, Paris, 4 December 1941, lot 63 (titled Roses, gueules de loup et iris).
Georges Aubry, Paris (acquired at the above sale).
Mme Bourdon, Paris (by 1951); sale, Hôtel Drouot, Guy Loudmer, Paris, 25 March 1990, lot 20.
Acquired by the present owner, circa 1990.
","
signed 'Henri. Matisse' (lower left) 
",-,oil on canvas ,1907,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02554_0013_000(henri_matisse_les_pivoines).jpg
Willem de Kooning,Untitled I,05.16.2007,"19,080,000",223.5 x 195.6 cm,Post-War and Contemporary Art Evening Sale,,"Xavier Fourcade, Inc., New York
Mr. and Mrs. Asher Edelman, New York, 1981
S.I. Newhouse, New York, 1985
","
signed 'de Kooning' (lower right) 
",-,oil and charcoal on canvas ,1981,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0029_000().jpg
Auguste Rodin,"Eve, grand modèle-version sans rocherREPEAT SALE",05.06.2008,"18,969,000",173 cm,Impressionist And Modern Art  Evening Sale,"USD 9,000,000 - USD 12,000,000","Auguste Pellerin, Neuilly-sur-Seine (acquired from the artist through Galerie Bernheim-Jeune et Cie., June 1897).
Yves de Chaisemartin, Paris (by descent from the above).
Private collection, Switzerland (acquired from the above, 1993); sale, Christie's, New York, 8 November 1999, lot 133.
Acquired at the above sale by the present owner.
","
signed and inscribed 'A. Rodin PREMIERE EPREUVE' (on the side of the base)
","
Private collection, Switzerland (acquired from the above, 1993); sale, Christie's, New York, 8 November 1999, lot 133.
",signed and inscribed 'A. Rodin PREMIERE EPREUVE' (on the side of the base),1881,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0015_000().jpg
Pablo Picasso,Portrait de Germaine,05.02.2006,"18,608,000",50.2 x 41.6 cm,Impressionist and Modern Art Evening Sale,"USD 12,000,000 - USD 18,000,000","Mme. Paul Guillaume, Paris.
Mrs. H. Harris Jonas, New York (acquired in 1932).
By descent from the above to the present owner. 
","
signed 'Picasso' (upper right) 
",-,oil on canvas ,1902,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01655_0029_000().jpg
Mark Rothko,White cloud,11.08.2011,"18,562,500",168.9 x 159.7 cm,Post-War Contemporary Evening Sale,"USD 18,000,000 - USD 25,000,000","Sidney Janis Gallery, New York
Gimpel Fils, London
E.J. Power, London
Pace Gallery, New York
Acquired from the above by the present owner, 1976 
","
signed and dated 'MARK ROTHKO 56' (on the reverse) 
",-,oil on canvas ,1956,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02480_0071_000(mark_rothko_white_cloud).jpg
Alexander Calder,Lily of Force,05.08.2012,"18,562,500",205.7 x 226.1 cm,Post-War and Contemporary Art Evening Sale,"USD 8,000,000 - USD 12,000,000","Estate of the Artist
Pace Wildenstein, New York
Acquired from the above by the present owner
",-,-,"standing mobile--painted sheet metal, rod and wire ",1945,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0033_000(alexander_calder_lily_of_force).jpg
Alberto Giacometti,L′homme qui chavireREPEAT SALE,05.09.2007,"18,520,000",58.8 cm,Impressionist and Modern Art Evening Sale,"USD 6,500,000 - USD 8,500,000","Pierre Matisse Gallery, New York.
Richard and Dorothy Rodgers, New York; sale, Christie's, New York, 11 November 1992, lot 21.
Acquired at the above sale by the present owner. 
","
signed, numbered and inscribed with foundry mark 'A. Giacometti 2/6 Alexis. Rudier Fondeur. Paris' (on the base)
",-,bronze with brown patina ,1947,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01831_0051_000().jpg
Juan Gris,Le pot de geraniumREPEAT SALE,05.09.2007,"18,520,000",81.3 x 60.5 cm,Impressionist and Modern Art Evening Sale,"USD 14,000,000 - USD 18,000,000","Galerie de L'Effort Moderne (Léonce Rosenberg), Paris (acquired from the artist, circa 1915).
Edmond Rosenberg, Paris (by 1938).
Galerie Balaÿ et Carré, Paris.
Jacques Seligmann & Co. Galleries, New York.
Philip Sandblom, Stockholm (acquired from the above, 1938).
Grace and Philip Sandblom, La Jolla (by descent from the above); sale, Sotheby's, New York, 8 May 2002, lot 36.
Acquired at the above sale by the present owner. 
","
signed and dated 'Juan Gris 7.1915' (lower left) 
",-,oil on canvas ,1915,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01831_0059_000().jpg
Piet Mondrian,Composition avec grille 2,02.23.2009,"18,472,162",79.6 x 49.8 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 7,000,000 - EUR 10,000,000","Helene Kröller-Müller, Wassenaar (acquis auprès de l'artiste, 1922).
Anton G. Kröller, Hoenderloo (par descendance, 1939).
Collection particulière (par descendance, 1941). 
Kunsthandel K.A. Legat-Ehrlich, La Haye.
Jon Nicholas Streep, Amsterdam/New York (acquis auprès de celui-ci, vers 1946).
Nierendorf Gallery, New York.
Leo Castelli, New York (acquis en 1949).
Rose Fried Gallery, New York (acquis en 1955).
Israël Rosen, Baltimore (acquis auprès de celle-ci, 14 mai 1955).
Galerie Beyeler, Bâle (acquis auprès de celle-ci, 1972).
Galerie Tarica, Paris (acquis auprès de celle-ci, vers 1978).
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, 1978. 
","
signé du monogramme 'PM' (en bas à droite) 
","
Collection particulière (par descendance, 1941). 
",huile sur toile ,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0042_000().jpg
Andy Warhol,Silver Liz,05.11.2010,"18,338,500",101.6 x 203.2 cm,Post-War and Contemporary Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Ferus Gallery, Los Angeles
Leo Castelli Gallery, New York
Mr. and Mrs. Horace H. Solomon, New York, 1965
Acquired from the above by the present owner, 1986 
","
signed and dated 'Andy Warhol 65' (on the overlap of the left panel) 
",-,"spray enamel, synthetic polymer and silkscreen inks on linen ",1963,-
Constantin Brancusi,Danaïde,05.07.2002,"18,159,500",28 cm,Impressionist and Modern Art (Evening Sale)                 ,"USD 8,000,000 - USD 10,000,000","Eugene and Agnes Meyer, Washington D.C. (acquired from the artist at The Little Galleries of the Photo-Secession Brancusi exhibition, April 1914).
By descent from the above to the present owner.
","
signed and stamped with foundry mark 'BRANCUSI C. Valsuani Cire Perdue' (on the underside)
",-,bronze with gold leaf and dark brown patina ,1913,https://www.christies.com/img/LotImages/2002/NYR/2002_NYR_01075_0027_000().jpg
Roy Lichtenstein,Landscape with Figures,11.12.2014,"18,085,000",162.6 x 254 cm,Post-War & Contemporary Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Blum Helman Gallery, New York
Acquired from the above by the present owner, 1978","
signed and dated ‘rf Lichtenstein ‘77’ (on the reverse)
",-,oil and Magna on canvas,1977,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0025_000(roy_lichtenstein_landscape_with_figures).jpg
Peter Doig,Pine House,11.12.2014,"18,085,000",180 x 230.5 cm,Post-War & Contemporary Art Evening Sale,,"Gavin Brown's Enterprise, New York
Private collection, New York
Anon. sale; Christie's, London, 16 October 2009, lot 5
Acquired at the above sale by the present owner","
signed twice, inscribed, titled and dated 'PETER DOIG JUL. AUG. SEPT. 94 Doig PINE HOUSE (ROOMS FOR RENT) Rooming house in Cobourg 'Christmas Flowers'' (on the reverse)
","
Private collection, New York
",oil on canvas,1994,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0036_000(peter_doig_pine_house).jpg
Chaïm Soutine,Le petit pâtissier,05.08.2013,"18,043,750",76.5 x 68.9 cm,Impressionist & Modern Evening Sale,"USD 16,000,000 - USD 22,000,000","Marcellin and Madeleine Castaing, Paris (by 1929).
Carroll Carstairs Gallery, New York (by 1940).
Lee A. Ault, New York (by 1941).
Frank Perls, Los Angeles.
Mr. and Mrs. Sidney F. Brody, Beverly Hills (by 1956); sale, Sotheby's, New York, 19 October 1977, lot 13.
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London (acquired at the above sale).
Acquired from the above by the present owner, 1977.
","
signed 'Soutine' (lower right) 
",-,oil on canvas ,1927,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02782_0021_000(chaim_soutine_le_petit_patissier).jpg
Pablo Picasso,Deux personnages,11.06.2008,"18,002,500",100.3 x 81.6 cm,Impressionist/Modern Evening Sale,"USD 18,000,000 - USD 25,000,000","Galerie Beyeler, Basel.
Acquired from the above by the present owner, 24 October 1984.
","
signed, dated and inscribed 'Boisgeloup 10 Avril XXXIV-Picasso' (upper left)
",-,oil on canvas ,1934,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_02045_0058_000().jpg
Pablo Picasso,Femme au chat assise dans un fauteuil,05.04.2010,"18,002,500",130 x 81 cm,Impressionist/ Modern Evening Sale,"USD 10,000,000 - USD 15,000,000","Galerie Louise Leiris, Paris.
Galerie Beyeler, Basel (1971).
Acquired from the above by the present owner, 1972. 
","
signed 'Picasso' (upper right); dated 4.7.8.12.13.14.15.5.64. (on the reverse)
",-,oil on canvas ,1964,-
Pablo Picasso,Le baiserREPEAT SALE,06.23.2010,"17,937,642",130 x 96 cm,Impressionist/Modern  Evening Sale,"GBP 8,000,000 - GBP 12,000,000","Galerie Louise Leiris, Paris.
Private collection, Europe, by whom acquired from the above.
Acquired from the above; sale, Sotheby's, London, 23 June 2003, lot 26. Acquired at the above sale by the present owner. 
","
signed 'Picasso' (lower right); dated and numbered '10.12.69 II' (on the reverse)
","
Private collection, Europe, by whom acquired from the above.
",20l on canvas ,1969,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0041_000(pablo_picasso_le_baiser).jpg
Claude Monet,"Les arceaux de roses, Giverny",06.18.2007,"17,750,766",82 x 94 cm,Impressionist and Modern Art  (Evening Sale),"GBP 9,000,000 - GBP 12,000,000","Offered by the artist to a benefit auction au profit de la Fraternité des Artistes, Georges Petit, Paris, 1 May 1917, lot 64.
Galerie Durand-Ruel, Paris, by whom acquired at the above sale.
Durand-Ruel Galleries, by whom acquired from the above in 1917.
Jean d'Alayer, Paris, by whom acquired from the above after 1945.
Sam Salz, Inc., New York.
Mr & Mrs Charles Goldman, New York, circa 1959.
Anonymous sale, Sotheby's, New York, 21 March 1962, lot 72.
Jérôme Taishoff, New York, by whom acquired at the above sale.
The estate of Jérôme Taishoff, New York.
Acquired from the above in 1965. 
","
signed 'Claude Monet' (lower left) 
",-,oil on canvas ,1913,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07404_0011_000().jpg
